date,dive_site,depth_start,depth_end,temperature_c,rug_5m,rug_10m,rug_15m,rug_20m,rug_25m,rug_30,total_pa,total_bu,total_da,total_sn,total_grn,total_su,total_an,total_wr,total_gr,total_po,total_tr,total_fl,total_lf,total_prg,total_jck,total_ch,total_bar
45684.0,Grandmas Garden,6.1,5.6,28,0,5,5,0,0,15,42,3,16,0,0,1,0,3,3,0,0,0,0,0,0,0,0
45685.0,Grandmas Garden,8.2,10,28,40,20,20,15,0,0,76,2,16,2,0,0,1,5,11,0,0,0,0,0,0,0,0
45685.0,Casablanca,8,7.2,28,20,5,40,0,20,0,51,4,13,0,4,1,0,3,0,0,0,0,0,0,0,0,0
45686.0,Buoy Line,8.2,8,27,0,0,0,0,5,0,27,3,13,0,2,7,0,6,1,0,0,0,0,0,0,0,0
45686.0,Manuels Wall,11.1,12.1,27,0,25,20,30,30,20,29,8,16,0,1,0,0,0,2,0,0,0,0,0,0,0,0
45687.0,Pandora,13.6,12.6,28,0,0,80,0,0,30,59,3,9,1,15,3,2,3,3,0,0,0,1,0,3,0,0
45687.0,Casablanca,8,5.8,28,5,10,10,5,0,15,31,3,17,0,12,1,0,3,0,0,0,0,0,0,0,0,0
45688.0,Buoy Line,8.2,9.4,27,0,0,0,0,20,25,92,10,10,5,7,0,0,7,3,0,0,0,0,0,0,0,0
45688.0,Grandmas Garden,12.4,6.9,27,0,5,0,10,10,30,42,10,13,11,1,3,0,3,3,0,0,0,0,0,11,0,0
45729.0,Casablanca,8.8,7.7,29,60,45,55,20,34,70,12,0,18,0,2,2,0,0,6,0,0,0,0,0,0,0,0
45729.0,Grandmas Garden,8.7,8.4,29,20,80,40,60,40,40,15,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0
45748.0,Grandmas Garden,12,8.1,29,80,40,60,100,60,60,13,1,11,32,3,1,1,0,4,0,0,0,0,0,0,0,0
45748.0,Casablanca,9.3,7.5,29,30,50,50,20,20,30,40,11,22,4,2,1,0,0,4,1,0,0,0,0,0,0,0
45749.0,Grandmas Garden,9.9,8.5,29,60,20,50,80,40,80,33,5,19,1,3,0,2,0,7,1,0,0,0,0,2,0,0
45749.0,Casablanca,9.3,9.2,29,60,30,40,100,100,40,33,1,15,0,1,1,0,0,8,0,0,0,0,0,0,0,0
45750.0,Pandora,14.2,13.3,29,30,50,30,30,0,10,48,4,23,17,37,2,0,2,7,0,0,0,0,0,0,0,0
45750.0,Manuels Wall,10.6,9.6,29,30,50,0,30,60,0,41,9,32,0,0,1,0,0,6,0,0,0,2,0,0,0,0
45751.0,Buoy Line,11.7,10,29,80,20,60,30,50,70,21,6,13,4,6,5,0,0,3,0,0,0,0,0,0,0,0
45751.0,Manuels Wall,10.5,12.2,29,60,40,60,80,20,40,39,7,21,21,0,0,1,0,3,0,0,0,0,0,0,0,0
45754.0,Casablanca,10.2,8.4,29,40,20,20,20,30,40,40,2,15,0,0,1,1,3,5,0,0,0,0,0,0,0,0
45755.0,Buoy Line,13.2,10,29,20,70,60,30,50,40,15,1,8,2,2,1,0,2,1,0,0,0,1,0,0,0,0
45755.0,Manuels Wall,10,11,29,30,20,0,20,10,70,59,7,24,0,1,2,1,0,2,0,0,0,1,0,1,0,0
45756.0,Casablanca,5,5.4,29,10,0,20,20,30,10,47,13,13,16,16,0,0,0,0,0,0,0,0,0,0,0,0
45756.0,Manuels Wall,9.9,11,29,40,40,20,10,30,50,45,6,22,0,3,1,1,7,5,0,0,0,1,0,0,0,0
45798.0,Grandmas Garden,7.7,9.6,29,85,90,130,60,130,50,25,9,21,25,14,1,0,0,6,0,0,0,0,0,23,0,0
45798.0,Pandora,14.6,13.6,29,60,80,120,45,50,90,30,12,18,3,25,0,0,0,5,0,0,0,0,0,3,0,0
45799.0,Buoy Line,10.9,10.5,29,80,90,45,60,75,75,26,6,11,6,21,0,0,0,3,0,0,0,0,0,0,0,0
45799.0,Manuels Wall,11.5,11.7,29,80,30,20,50,30,90,18,6,23,5,0,0,0,3,5,1,0,0,0,0,0,0,0
45811.0,Casablanca,3.3,9.1,30,75,85,65,40,50,80,33,3,45,15,0,0,0,0,1,0,0,0,0,0,0,0,0
45811.0,Buoy Line,10.8,10.1,29,30,80,30,55,65,25,51,5,15,0,4,2,0,10,4,0,0,0,0,0,0,0,0
45813.0,Casablanca,6.8,6.9,30,55,40,65,95,55,20,28,12,32,2,95,2,0,1,1,0,0,0,0,0,0,0,0
45813.0,Pandora,12.3,11.1,30,65,40,55,55,45,75,42,1,44,20,8,3,1,6,6,0,0,0,0,0,1,0,0
45814.0,Buoy Line,12.1,10,30,50,65,40,75,45,55,40,4,15,6,41,2,0,1,5,0,0,0,0,0,0,0,0
45814.0,Manuels Wall,11.3,11.5,30,55,80,45,50,20,35,47,6,38,0,11,1,0,3,4,0,0,0,0,0,0,0,0
6/25/2025,Pandora,12.3,12.1,29,65,45,50,30,50,55,33,4,32,0,4,4,0,1,5,0,0,0,0,1,1,0,0
6/26/2025,Buoy Line,10.9,9,29,40,45,55,75,80,45,28,3,19,0,16,2,0,0,3,0,0,0,0,0,0,0,0
6/26/2025,Manuels Wall,17.5,16.7,29,60,35,45,15,65,40,16,2,11,2,2,0,0,0,3,0,0,0,1,0,3,0,0
6/27/2025,Grandmas Garden,9.1,7.6,28,55,50,60,75,30,90,37,1,14,0,58,0,0,0,5,0,0,0,1,0,0,0,0
6/27/2025,Casablanca,8.8,6.6,28,45,40,45,40,55,30,47,13,41,4,2,7,0,2,6,0,0,0,0,0,0,0,0
6/30/2025,Pandora,14.1,13.2,29,45,60,70,85,40,50,24,2,14,13,32,0,1,0,5,0,0,0,0,0,0,0,0
6/30/2025,Buoy Line,10.5,10.6,28,60,80,85,75,45,105,23,2,16,1,27,1,0,2,5,0,0,0,0,0,0,0,0
45723.0,Pandora,10.7,10.4,28,70,50,40,45,90,85,40,2,27,5,0,1,0,0,7,0,0,0,0,0,0,0,0
45876.0,Manuels Wall,10.7,10.9,29,45,35,45,45,30,40,47,3,35,0,1,1,1,2,5,0,0,0,0,0,1,0,0
45876.0,Pandora,12.5,12.6,30,60,55,75,55,55,40,21,3,22,2,31,1,0,0,2,0,0,0,0,0,0,0,0
45907.0,Casablanca,9.1,10,28,55,45,45,40,45,50,33,7,24,4,0,0,1,2,2,0,0,0,0,0,0,0,0
